super_opeid,name,czname,state,par_median,k_median,par_q1,par_top1pc,kq5_cond_parq1,ktop1pc_cond_parq1,mr_kq5_pq1,mr_ktop1_pq1,trend_parq1,trend_bottom40,count
2885,Albany College Of Pharmacy And Health Sciences,Albany,NY,95800,115800,3.9403558,0.19784023,85.208885,0.25403962,3.3575335,0.010010065,-0.63604873,-3.2948301,129
3290,"Lincoln University of Lincoln University, PA",Philadelphia,PA,47500,37400,20.534586,0.040689323,16.346292,0,3.3566434,0,-5.3312893,-10.560442,290
3353,University Of The Sciences In Philadelphia,Philadelphia,PA,95300,102700,5.3269253,0.30449113,62.914597,0.015336959,3.3514135,0.000816988,0.48784083,-5.4258189,309
3574,Howard County Junior College District,Big Spring,TX,53100,28500,19.020721,0.066302441,17.613865,0.056857429,3.3502839,0.010814693,-5.3317256,-1.4472766,432.5
2531,Montana Tech Of The University Of Montana,Butte-Silver Bow,MT,68300,46700,11.43111,0.51467115,29.21035,3.4722664,3.339067,0.39691859,-2.5297263,-5.017345,337
1249,Occidental College,Los Angeles,CA,122400,49000,8.5336227,8.6651602,39.126663,2.0575826,3.3389218,0.17558631,-4.8552971,-10.053344,380
1150,California State University - Sacramento,Sacramento,CA,88700,47900,10.452874,0.93292201,31.888157,0.000362821,3.3332288,3.79E-05,0.41455802,1.8618189,2041.333333
222,Fairleigh Dickinson University,Newark,NJ,87000,48200,9.5446501,2.6166873,34.902512,0.43138739,3.3313227,0.041174415,0.6837908,-2.7201259,780.6666667
2500,College Of The Ozarks,Aurora,MO,49200,32000,17.934622,0.1546108,18.49605,0.01598678,3.3171966,0.002867169,-12.227397,-19.156492,218.5
23582,Lamar State College - Orange,Beaumont,TX,64100,27200,20.821583,0.070487313,15.914715,0.15779734,3.3136957,0.032855906,-2.8842046,-3.7816889,259.5
1219,Long Beach City College,Los Angeles,CA,49900,28100,24.16667,0.22785991,13.679748,0.094588175,3.3059397,0.022858813,-3.1368899,-1.5382602,3148.666667
215,MCP Hahnemann And Drexel Universities,Philadelphia,PA,94100,65500,6.6638765,1.6902633,49.589874,1.5898916,3.3046081,0.10594841,-2.908145,-7.6809421,1881
3371,Temple University,Philadelphia,PA,82700,46700,9.2837181,0.77590692,35.593597,1.675778,3.3044095,0.15557452,-3.128361,-9.534565,2996.666667
1161,Cerritos Community College,Los Angeles,CA,45500,30200,23.391293,0,14.12366,0.1542559,3.3037066,0.03608245,-5.9970169,-7.1636667,3216
1559,Clark Atlanta University,Atlanta,GA,54500,35200,17.830929,0.3107512,18.507406,0.69318432,3.3000424,0.12360121,1.0215578,2.2438178,825.6666667
1215,La Sierra University,Los Angeles,CA,81300,43200,11.186931,1.5468285,29.474358,1.5374595,3.2972758,0.17199454,-3.0348127,-3.9275198,205
2769,Marymount Manhattan College,New York,NY,91100,35800,11.929653,4.175168,27.616549,0.81323338,3.2945585,0.097015925,-4.8914576,-12.096478,368.3333333
2778,Mount Saint Mary College,Poughkeepsie,NY,91700,47100,8.0073814,0.92643148,41.126987,0.042073842,3.293195,0.003369013,-5.0053496,-11.328357,278.3333333
7107,Essex County College,Newark,NJ,43000,28400,25.286119,0.27855477,13.015045,0.000687149,3.2910001,0.000173753,-2.1995895,0.3861205,972
1401,Post University,Bridgeport,CT,57800,36800,14.912631,1.0243847,22.05706,0.024758533,3.2892878,0.003692149,12.631336,14.013412,132
1594,Spelman College,Atlanta,GA,84500,49800,9.4288511,1.3499799,34.880478,2.2544501,3.2888281,0.21256875,1.2130018,2.891885,475
1238,Mills College,San Francisco,CA,79100,40200,10.617122,3.4654498,30.952389,5.5721064,3.286253,0.59159732,-0.92406732,-5.9294863,115
2402,Copiah-Lincoln Community College,Jackson,MS,41400,26900,31.81024,0.098101594,10.296646,0.016941413,3.2753878,0.005389104,-8.0965672,0.98651677,633.5
9706,South Seattle Community College,Seattle,WA,61600,32600,17.408611,0.38829145,18.803709,0.012727728,3.2734644,0.002215721,2.7059376,-0.61932856,385.3333333
2806,Rochester Institute Of Technology,Buffalo,NY,95700,62400,6.3269167,1.6997546,51.700191,1.765573,3.271028,0.11170633,0.44326103,-0.24164683,1945.333333
1480,Florida Agricultural & Mechanical University,Tallahassee,FL,57000,39300,15.397835,0.20564513,21.212914,0.59565467,3.2663293,0.091717914,1.9561058,7.7264338,2142.666667
1509,Nova Southeastern University,Miami,FL,64000,43500,13.516561,1.5008928,24.109715,0,3.2588043,0,-1.5060371,-7.765224,286.3333333
2666,Adelphi University,New York,NY,96300,50700,8.7048025,2.3863256,37.433441,3.0012798,3.2585073,0.26125547,-3.120115,-7.7034125,509
5354,Tennessee College Of Applied Technology-Jackson,Jackson,TN,54600,30000,17.666834,0.11826245,18.335133,0.011888341,3.2392375,0.002100294,1.9696769,5.8064041,108.5
3179,Southeastern Oklahoma State University,Sherman,OK,58700,34100,17.545877,0.28625435,18.455851,0.018860066,3.238241,0.003309164,-2.1422033,-4.7380867,525.6666667
3007,Williston State College,Williston,ND,60200,34900,14.718456,0.34145483,21.930895,0.030401023,3.2278891,0.004474562,-5.185102,-17.890438,170.3333333
5734,H. Councill Trenholm State Technical College,Montgomery,AL,34500,22300,33.179058,0.12246414,9.6935377,0.018267486,3.2162244,0.00606098,-9.2125168,-8.0974979,194.5
1182,College Of The Desert,Los Angeles,CA,44900,28400,24.684334,0.3540158,13.013613,0,3.2123237,0,-7.3196702,-6.3421979,1342.666667
8221,"Universal Technical Institute of Rancho Cucamonga, CA",Los Angeles,CA,62900,41300,13.784989,0.24697702,23.239635,0.12418132,3.2035813,0.017118381,1.4908986,4.2607565,2105
23385,Glendale Career College,Los Angeles,CA,33200,17900,38.327797,0.16438183,8.3514147,0.087119304,3.2009132,0.033390913,-16.010752,-9.736515,172
1196,Dominican University Of California,San Francisco,CA,98100,45200,6.0711908,2.5760667,52.676445,4.0258489,3.1980877,0.24441697,-3.3007231,-7.2853937,137.6666667
2397,Belhaven University,Jackson,MS,77300,32200,12.699437,0.74887884,25.175016,2.4903166,3.1970854,0.3162562,-3.2476432,-7.2268724,139.5
25561,ETI School Of Skilled Trades,Chicago,IL,63100,37400,14.308093,0.97700012,22.285027,0.18654738,3.1885624,0.026691373,7.4553342,9.4256563,138.5
2632,Seton Hall University,Newark,NJ,100900,56900,7.5406461,2.4662397,42.224033,1.3526974,3.183965,0.10200213,-2.514046,-6.2506394,1009.666667
2657,New Mexico State University,El Paso,NM,59300,33500,17.891996,0.21204583,17.780607,0.45601609,3.1813054,0.081590377,1.1738766,1.939952,3272.666667
